ticket_id,date,ticket_type,channel,assigned_queue,agent,assignment_time_min,met_30min_goal,defect_count,defect_categories,reopened
INC-4101,2026-06-01,Software install,Portal,Accounts,A-02,53,No,0,None,No
INC-4102,2026-06-01,Password reset,Email,Desktop Support,A-03,77,No,0,None,No
INC-4103,2026-06-01,Password reset,Walk-in,Desktop Support,A-02,41,No,0,None,No
INC-4104,2026-06-01,Access request,Portal,Security,A-05,33,No,0,None,No
INC-4105,2026-06-01,Password reset,Email,Desktop Support,A-01,39,No,0,None,No
INC-4106,2026-06-01,Network issue,Email,Network,A-01,24,Yes,0,None,No
INC-4107,2026-06-01,Access request,Phone,Security,A-03,79,No,1,Reopened ticket,Yes
INC-4108,2026-06-01,Email problem,Email,Desktop Support,A-05,21,Yes,0,None,No
INC-4109,2026-06-01,Access request,Portal,Security,A-01,26,Yes,0,None,No
INC-4110,2026-06-01,Network issue,Phone,Applications,A-04,75,No,0,None,No
INC-4111,2026-06-01,Access request,Walk-in,Network,A-01,25,Yes,0,None,No
INC-4112,2026-06-01,Hardware fault,Phone,Accounts,A-02,30,Yes,0,None,No
INC-4113,2026-06-01,Access request,Email,Desktop Support,A-05,29,Yes,0,None,No
INC-4114,2026-06-01,Password reset,Email,Network,A-02,22,Yes,0,None,No
INC-4115,2026-06-01,Other,Phone,Applications,A-01,43,No,0,None,No
INC-4116,2026-06-01,Access request,Email,Applications,A-02,65,No,0,None,No
INC-4117,2026-06-01,Password reset,Portal,Network,A-03,26,Yes,0,None,No
INC-4118,2026-06-01,Hardware fault,Phone,Desktop Support,A-03,35,No,0,None,No
INC-4119,2026-06-01,Network issue,Phone,Network,A-05,39,No,0,None,No
INC-4120,2026-06-01,Access request,Portal,Security,A-04,30,Yes,0,None,No
INC-4121,2026-06-01,Software install,Portal,Network,A-04,44,No,0,None,No
INC-4122,2026-06-01,Access request,Portal,Network,A-03,72,No,2,Missing information; Wrong queue,No
INC-4123,2026-06-01,Network issue,Walk-in,Desktop Support,A-02,91,No,1,Delayed assignment,No
INC-4124,2026-06-01,Network issue,Portal,Desktop Support,A-03,53,No,0,None,No
INC-4125,2026-06-01,Access request,Walk-in,Network,A-03,42,No,0,None,No
INC-4126,2026-06-01,Password reset,Phone,Accounts,A-05,44,No,3,Duplicate ticket; Missing information; Reopened ticket,Yes
INC-4127,2026-06-01,Password reset,Phone,Network,A-03,33,No,0,None,No
INC-4128,2026-06-01,Password reset,Email,Network,A-03,27,Yes,0,None,No
INC-4129,2026-06-01,Hardware fault,Phone,Security,A-04,30,Yes,1,Missing information,No
INC-4130,2026-06-01,Email problem,Portal,Applications,A-04,42,No,0,None,No
INC-4131,2026-06-01,Hardware fault,Phone,Applications,A-03,27,Yes,0,None,No
INC-4132,2026-06-01,Network issue,Portal,Applications,A-05,29,Yes,2,Missing information; Wrong queue,No
INC-4133,2026-06-01,Software install,Phone,Applications,A-01,85,No,0,None,No
