date,ticket_id,assignment_time_min
2026-06-01,INC-4101,53
2026-06-01,INC-4102,77
2026-06-01,INC-4103,41
2026-06-01,INC-4104,33
2026-06-01,INC-4105,39
2026-06-01,INC-4106,24
2026-06-01,INC-4107,79
2026-06-01,INC-4108,21
2026-06-01,INC-4109,26
2026-06-01,INC-4110,75
2026-06-01,INC-4111,25
2026-06-01,INC-4112,30
2026-06-01,INC-4113,29
2026-06-01,INC-4114,22
2026-06-01,INC-4115,43
2026-06-01,INC-4116,65
2026-06-01,INC-4117,26
2026-06-01,INC-4118,35
2026-06-01,INC-4119,39
2026-06-01,INC-4120,30
2026-06-01,INC-4121,44
2026-06-01,INC-4122,72
2026-06-01,INC-4123,91
2026-06-01,INC-4124,53
2026-06-01,INC-4125,42
2026-06-01,INC-4126,44
2026-06-01,INC-4127,33
2026-06-01,INC-4128,27
2026-06-01,INC-4129,30
2026-06-01,INC-4130,42
2026-06-01,INC-4131,27
2026-06-01,INC-4132,29
2026-06-01,INC-4133,85
2026-06-01,INC-4134,57
2026-06-01,INC-4135,75
2026-06-01,INC-4136,65
2026-06-01,INC-4137,28
2026-06-01,INC-4138,30
2026-06-01,INC-4139,54
2026-06-01,INC-4140,124
2026-06-02,INC-4141,87
2026-06-02,INC-4142,42
2026-06-02,INC-4143,47
2026-06-02,INC-4144,27
2026-06-02,INC-4145,69
2026-06-02,INC-4146,34
2026-06-02,INC-4147,30
2026-06-02,INC-4148,31
2026-06-02,INC-4149,36
2026-06-02,INC-4150,29
2026-06-02,INC-4151,129
2026-06-02,INC-4152,27
2026-06-02,INC-4153,48
2026-06-02,INC-4154,63
2026-06-02,INC-4155,47
2026-06-02,INC-4156,23
2026-06-02,INC-4157,62
2026-06-02,INC-4158,19
2026-06-02,INC-4159,32
2026-06-02,INC-4160,40
2026-06-02,INC-4161,42
2026-06-02,INC-4162,66
2026-06-02,INC-4163,24
2026-06-02,INC-4164,43
2026-06-02,INC-4165,40
2026-06-02,INC-4166,42
2026-06-02,INC-4167,30
2026-06-02,INC-4168,36
2026-06-02,INC-4169,49
2026-06-02,INC-4170,76
2026-06-02,INC-4171,18
2026-06-02,INC-4172,44
2026-06-02,INC-4173,27
2026-06-02,INC-4174,12
2026-06-02,INC-4175,29
2026-06-02,INC-4176,34
2026-06-02,INC-4177,41
2026-06-02,INC-4178,30
2026-06-02,INC-4179,48
2026-06-02,INC-4180,67
2026-06-03,INC-4181,15
2026-06-03,INC-4182,36
2026-06-03,INC-4183,42
2026-06-03,INC-4184,21
2026-06-03,INC-4185,65
2026-06-03,INC-4186,73
2026-06-03,INC-4187,29
2026-06-03,INC-4188,39
2026-06-03,INC-4189,87
2026-06-03,INC-4190,50
2026-06-03,INC-4191,79
2026-06-03,INC-4192,24
2026-06-03,INC-4193,34
2026-06-03,INC-4194,54
2026-06-03,INC-4195,100
2026-06-03,INC-4196,51
2026-06-03,INC-4197,55
2026-06-03,INC-4198,28
2026-06-03,INC-4199,36
2026-06-03,INC-4200,21
2026-06-03,INC-4201,77
2026-06-03,INC-4202,40
